Liga,Inning,Mitad Del Inning,Evento,Outs Antes De Jugada,Corredores Inicio De Jugada,Carreras Antes De Jugada,Carreras Anotadas En Jugada,Outs En Juego,Outs Despues De Jugada,Corredores Despues De Jugada,Carreras Despues De Jugada,Carreras Final Inning
SNB60,6,top,"L. Segura  batea Sencillo de linea al jardin derecho. L. Chapelli  avanza a Tercera Base, J. Alvarez  anota",1,1-3,2,1,0,1,1-3,3,5
SNB60,6,top,"A. Ayala  es Out de rolling 43. L. Segura  avanza a Segunda Base, L. Chapelli  anota",1,1-3,3,1,1,2,-2-,4,5
SNB60,6,top,Y. Samon  recibe Base por Bolas.,2,--3,4,0,0,2,1-3,4,5
SNB60,6,top,"L. Gonzalez  batea Sencillo de rolling . Y. Samon  avanza a Segunda Base, L. Segura  anota",2,1-3,4,1,0,2,12-,5,5
SNB60,6,top,"L. Moa  batea Sencillo de rolling . L. Gonzalez  avanza a Segunda Base, Y. Samon  avanza a Tercera Base, ",2,12-,5,0,0,2,123,5,5
SNB60,6,top,Y. Yanes  es Out de fly al jardin derecho.,2,123,5,0,1,3,123,5,5
SNB60,6,bottom,E. Blanco  es Out de rolling 13.,0,---,0,0,1,1,---,0,0
SNB60,6,bottom,A. Perez  es Out de fly.,1,---,0,0,1,2,---,0,0
SNB60,6,bottom,M. Esquerres  es Out de fly.,2,---,0,0,1,3,---,0,0
SNB60,7,top,J. Alvarez  es Out de fly.,0,---,0,0,1,1,---,0,0
SNB60,7,top,H. Bravo  recibe Base por Bolas.,1,---,0,0,0,1,1--,0,0
SNB60,7,top,"L. Chapelli  batea Sencillo de rolling . H. Bravo  avanza a Segunda Base, ",1,1--,0,0,0,1,12-,0,0
SNB60,7,top,"L. Segura  es Out de linea al jardin derecho. H. Bravo  avanza a Tercera Base, ",1,12-,0,0,1,2,1-3,0,0
SNB60,7,top,"A. Ayala  se embasa por FCH de rolling 64. L. Chapelli  es Out, ",2,1-3,0,0,1,3,1-3,0,0
SNB60,7,bottom,A. Medina  batea Sencillo de linea al jardin central.,0,---,0,0,0,0,1--,0,0
SNB60,7,bottom,A. Sanchez  se Poncha.,0,1--,0,0,1,1,1--,0,0
SNB60,7,bottom,J. Delgado  es Out de fly al jardin derecho.,1,1--,0,0,1,2,1--,0,0
SNB60,7,bottom,"Y. Santoya  se embasa por FCH de rolling 64. A. Medina  es Out, ",2,1--,0,0,1,3,1--,0,0
SNB60,8,top,Y. Samon  recibe Base por Bolas.,0,---,0,0,0,0,1--,0,0
SNB60,8,top,"L. Gonzalez  batea Sencillo de rolling al jardin izquierdo . Y. Samon  avanza a Segunda Base, ",0,1--,0,0,0,0,12-,0,0
SNB60,8,top,L. Moa  se Poncha.,0,12-,0,0,1,1,12-,0,0
SNB60,8,top,"Y. Yanes  recibe Base por Bolas. L. Gonzalez  avanza a Segunda Base, Y. Samon  avanza a Tercera Base, ",1,12-,0,0,0,1,123,0,0
SNB60,8,top,M. Luis  se Poncha.,1,123,0,0,1,2,123,0,0
SNB60,8,top,H. Bravo  es Out de rolling 63.,2,123,0,0,1,3,123,0,0
SNB60,8,bottom,Y. Duque  se Poncha.,0,---,0,0,1,1,---,0,0
SNB60,8,bottom,W. Luis  es Out de fly al jardin central.,1,---,0,0,1,2,---,0,0
SNB60,8,bottom,E. Blanco  se Poncha.,2,---,0,0,1,3,---,0,0
SNB60,9,top,L. Chapelli  batea Sencillo de rolling al jardin izquierdo .,0,---,0,0,0,0,1--,0,5
SNB60,9,top,L. Segura  es Out de linea.,0,1--,0,0,1,1,1--,0,5
SNB60,9,top,"A. Ayala  recibe Base por Bolas. L. Chapelli  avanza a Segunda Base, ",1,1--,0,0,0,1,12-,0,5
SNB60,9,top,"Y. Samon  batea Sencillo de rolling al jardin derecho . A. Ayala  avanza a Segunda Base, L. Chapelli  anota, ",1,12-,0,1,0,1,12-,1,5
SNB60,9,top,"L. Gonzalez  recibe Base por Bolas. Y. Samon  avanza a Segunda Base, A. Ayala  avanza a Tercera Base, ",1,12-,1,0,0,1,123,1,5
SNB60,9,top,"L. Moa  conecta Jonron de fly al jardin izquierdo. L. Gonzalez  anota, Y. Samon  anota, A. Ayala  anota",1,123,1,4,0,1,---,5,5
SNB60,9,top,Y. Yanes  batea Sencillo de rolling al jardin izquierdo .,1,---,5,0,0,1,1--,5,5
SNB60,9,top,"L. Gomez  batea para Doble Play de rolling 6443. Y. Yanes  es Out, ",1,1--,5,0,2,3,---,5,5
SNB60,9,bottom,S. Menocal recibe Base por Bolas.,0,---,0,0,0,0,1--,0,4
SNB60,9,bottom,M. Esquerres  es Out de fly.,0,1--,0,0,1,1,1--,0,4
SNB60,9,bottom,"A. Medina  recibe Base por Bolas. S. Menocal avanza a Segunda Base, ",1,1--,0,0,0,1,12-,0,4
SNB60,9,bottom,"A. Sanchez  se embasa por FCH de rolling 46. A. Medina  es Out, S. Menocal avanza a Tercera Base, ",1,12-,0,0,1,2,1-3,0,4
SNB60,9,bottom,"J. Delgado  batea Sencillo de rolling al jardin izquierdo . A. Sanchez  avanza a Segunda Base, S. Menocal anota",2,1-3,0,1,0,2,12-,1,4
SNB60,9,bottom,"Y. Santoya  conecta Jonron de fly al jardin izquierdo. J. Delgado  anota, A. Sanchez  anota, ",2,12-,1,3,0,2,---,4,4
SNB60,9,bottom,Y. Duque  batea Sencillo de linea al jardin derecho.,2,---,4,0,0,2,1--,4,4
SNB60,9,bottom,"W. Luis  se embasa por FCH de rolling 54. Y. Duque  es Out, ",2,1--,4,0,1,3,1--,4,4
SNB60,1,top,C. Prieto  se Poncha.,0,---,0,0,1,1,---,0,0
SNB60,1,top,R. Lopez  recibe Base por Bolas.,1,---,0,0,0,1,1--,0,0
SNB60,1,top,"Y. Ibanez  recibe Base por Bolas. R. Lopez  avanza a Segunda Base, ",1,1--,0,0,0,1,12-,0,0
SNB60,1,top,P. Quesada  se Poncha.,1,12-,0,0,1,2,12-,0,0
SNB60,1,top,J. Soriano  es Out de rolling 13.,2,12-,0,0,1,3,12-,0,0
SNB60,1,bottom,D. Gomez  es Out de fly al jardin central.,0,---,0,0,1,1,---,0,0
SNB60,1,bottom,Y. Mendoza  es Out de rolling 43.,1,---,0,0,1,2,---,0,0
SNB60,1,bottom,F. Cepeda  es Out de fly al jardin izquierdo.,2,---,0,0,1,3,---,0,0
SNB60,2,top,D. Perez  batea Sencillo de linea al jardin izquierdo.,0,---,0,0,0,0,1--,0,3
SNB60,2,top,"A. Sevilla  recibe Base por Bolas. D. Perez  avanza a Segunda Base, ",0,1--,0,0,0,0,12-,0,3
SNB60,2,top,"L. Mateo  batea Doble de fly al jardin izquierdo. A. Sevilla  avanza a Tercera Base, D. Perez  anota, ",0,12-,0,1,0,0,-23,1,3
SNB60,2,top,"L. Gonzalez  batea Sencillo de linea al jardin central. L. Mateo  anota, A. Sevilla  anota",0,-23,1,2,0,0,1--,3,3
SNB60,2,top,"C. Prieto  es Out de rolling 43. L. Gonzalez  avanza a Tercera Base, ",0,-2-,3,0,1,1,--3,3,3
SNB60,2,top,R. Lopez  recibe Base por Bolas.,1,--3,3,0,0,1,1-3,3,3
SNB60,2,top,Y. Ibanez  es Out de fly al jardin central.,1,1-3,3,0,1,2,1-3,3,3
SNB60,2,top,"P. Quesada  recibe Base por Bolas. R. Lopez  avanza a Segunda Base, ",2,1-3,3,0,0,2,123,3,3
SNB60,2,top,"J. Soriano  se embasa por FCH de rolling 64. P. Quesada  es Out, ",2,123,3,0,1,3,123,3,3
SNB60,2,bottom,G. Cepeda  se Poncha.,0,---,0,0,1,1,---,0,0
SNB60,2,bottom,D. Palacio  es Out de rolling 463.,1,---,0,0,1,2,---,0,0
SNB60,2,bottom,D. Ortiz  es Out de rolling 13.,2,---,0,0,1,3,---,0,0
SNB60,3,top,D. Perez  es Out de fly.,0,---,0,0,1,1,---,0,0
SNB60,3,top,A. Sevilla  recibe Pelotazo.,1,---,0,0,0,1,1--,0,0
SNB60,3,top,"L. Mateo  batea para Doble Play de rolling 6443. A. Sevilla  es Out, ",1,1--,0,0,2,3,---,0,0
SNB60,3,bottom,L. Rodriguez  es Out de fly.,0,---,0,0,1,1,---,0,0
SNB60,3,bottom,L. Fernandez  recibe Pelotazo.,1,---,0,0,0,1,1--,0,0
SNB60,3,bottom,"R. Moreno  batea para Doble Play de rolling 443. L. Fernandez  es Out, ",1,1--,0,0,2,3,---,0,0
SNB60,4,top,L. Gonzalez  recibe Base por Bolas.,0,---,0,0,0,0,1--,0,1
SNB60,4,top,C. Prieto  batea Sencillo de rolling al jardin central .,1,---,0,0,0,1,1--,0,1
SNB60,4,top,R. Lopez  es Out de fly al jardin izquierdo.,1,1--,0,0,1,2,1--,0,1
SNB60,4,top,"Y. Ibanez  batea Doble de linea al jardin izquierdo. C. Prieto  anota, ",2,1--,0,1,0,2,-2-,1,1
SNB60,4,top,P. Quesada  recibe Pelotazo.,2,-2-,1,0,0,2,12-,1,1
SNB60,4,top,J. Soriano  es Out de rolling 13.,2,12-,1,0,1,3,12-,1,1
SNB60,4,bottom,D. Gomez  es Out de fly al jardin derecho.,0,---,0,0,1,1,---,0,0
SNB60,4,bottom,Y. Mendoza  batea Sencillo de linea al jardin central.,1,---,0,0,0,1,1--,0,0
SNB60,4,bottom,"F. Cepeda  batea Sencillo de linea al jardin derecho. Y. Mendoza  avanza a Segunda Base, ",1,1--,0,0,0,1,12-,0,0
SNB60,4,bottom,"G. Cepeda  es Out de fly al jardin central. F. Cepeda  avanza a Segunda Base, Y. Mendoza  avanza a Tercera Base, ",1,12-,0,0,1,2,-23,0,0
SNB60,4,bottom,D. Palacio  es Out de fly.,2,-23,0,0,1,3,-23,0,0
SNB60,5,top,D. Perez  es Out de rolling 43.,0,---,0,0,1,1,---,0,0
SNB60,5,top,A. Sevilla  es Out de fly al jardin derecho.,1,---,0,0,1,2,---,0,0
SNB60,5,top,L. Mateo  recibe Base por Bolas.,2,---,0,0,0,2,1--,0,0
SNB60,5,top,"L. Gonzalez  batea Sencillo de fly al jardin derecho. L. Mateo  avanza a Tercera Base, ",2,1--,0,0,0,2,1-3,0,0
SNB60,5,top,C. Prieto  es Out de rolling 53.,2,1-3,0,0,1,3,1-3,0,0
SNB60,5,bottom,D. Ortiz  es Out de fly al jardin izquierdo.,0,---,0,0,1,1,---,0,0
SNB60,5,bottom,L. Rodriguez  es Out de fly al jardin central.,1,---,0,0,1,2,---,0,0
SNB60,5,bottom,L. Fernandez  batea Sencillo de fly al jardin izquierdo.,2,---,0,0,0,2,1--,0,0
SNB60,5,bottom,"R. Moreno  recibe Base por Bolas. L. Fernandez  avanza a Segunda Base, ",2,1--,0,0,0,2,12-,0,0
SNB60,5,bottom,"D. Gomez  se embasa por FCH de rolling 54. R. Moreno  es Out, ",2,12-,0,0,1,3,12-,0,0
SNB60,6,top,R. Lopez  batea Sencillo de linea al jardin izquierdo.,0,---,0,0,0,0,1--,0,0
SNB60,6,top,"Y. Ibanez  batea para Doble Play de rolling 4663. R. Lopez  es Out, ",0,1--,0,0,2,2,---,0,0
SNB60,6,top,P. Quesada  batea Sencillo de rolling al jardin central .,2,---,0,0,0,2,1--,0,0
SNB60,6,top,"J. Soriano  se embasa por FCH de rolling 54. P. Quesada  es Out, ",2,1--,0,0,1,3,1--,0,0
SNB60,6,bottom,Y. Mendoza  recibe Base por Bolas.,0,---,0,0,0,0,1--,0,3
SNB60,6,bottom,F. Cepeda  se Poncha.,0,1--,0,0,1,1,1--,0,3
SNB60,6,bottom,"G. Cepeda  recibe Base por Bolas. Y. Mendoza  avanza a Segunda Base, ",1,1--,0,0,0,1,12-,0,3
SNB60,6,bottom,"D. Palacio  recibe Base por Bolas. G. Cepeda  avanza a Segunda Base, Y. Mendoza  avanza a Tercera Base, ",1,12-,0,0,0,1,123,0,3
SNB60,6,bottom,E. Martinez  se Poncha.,1,123,0,0,1,2,123,0,3
SNB60,6,bottom,"A. Escobar  recibe Base por Bolas. D. Palacio  avanza a Segunda Base, G. Cepeda  avanza a Tercera Base, Y. Mendoza  anota",2,123,0,1,0,2,123,1,3
SNB60,6,bottom,"L. Fernandez  batea Doble de fly al jardin derecho. A. Escobar  avanza a Tercera Base, D. Palacio  anota, G. Cepeda  anota",2,123,1,2,0,2,-23,3,3
SNB60,6,bottom,R. Moreno  es Out de rolling 43.,2,-23,3,0,1,3,-23,3,3
SNB60,7,top,D. Perez  es Out de fly al jardin izquierdo.,0,---,0,0,1,1,---,0,0
SNB60,7,top,A. Sevilla  recibe Pelotazo.,1,---,0,0,0,1,1--,0,0
